a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,code_sondage,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
Non,2,2,1,00000474,6,3,Transformation Digitale,Y,Occasionnel,6,7
Non,1,2,1,00000475,25,2,Entrepreunariat,Y,Aucun,2,2
Non,1,3,1,00000476,1,3,Infra & Cloud,Y,Occasionnel,7,7
Non,0,6,1,00000477,2,4,Autre,Y,Occasionnel,0,0
Oui,0,3,1,00000478,1,1,Entrepreunariat,Y,Frequent,1,2
Non,0,6,1,00000479,1,5,Transformation Digitale,Y,Aucun,0,0
Non,1,2,1,00000481,3,4,Transformation Digitale,Y,Frequent,1,12
Non,0,2,1,00000482,1,4,Transformation Digitale,Y,Occasionnel,1,2
Non,1,3,1,00000483,10,4,Infra & Cloud,Y,Occasionnel,1,7
Non,0,3,1,00000484,9,2,Transformation Digitale,Y,Aucun,2,2
Oui,0,2,1,00000485,5,3,Marketing,Y,Occasionnel,0,0
Non,1,3,1,00000486,10,3,Transformation Digitale,Y,Occasionnel,0,3
Non,0,2,1,00000487,7,4,Transformation Digitale,Y,Aucun,0,0
Oui,0,5,1,00000488,4,3,Marketing,Y,Frequent,7,7
Non,0,2,1,00000491,10,3,Entrepreunariat,Y,Occasionnel,1,3
Oui,2,6,1,00000492,22,2,Marketing,Y,Occasionnel,1,0
Non,0,5,1,00000493,9,4,Infra & Cloud,Y,Occasionnel,2,2
Oui,0,0,1,00000494,12,3,Infra & Cloud,Y,Occasionnel,0,0
Non,0,4,1,00000495,23,3,Infra & Cloud,Y,Occasionnel,1,2
Non,0,5,1,00000496,9,4,Infra & Cloud,Y,Occasionnel,0,0
Non,1,2,1,00000497,1,2,Transformation Digitale,Y,Occasionnel,0,4
Non,0,1,1,00000498,9,4,Infra & Cloud,Y,Occasionnel,0,7
Non,0,2,1,00000499,7,3,Autre,Y,Occasionnel,0,0
Non,1,2,1,00000500,14,2,Infra & Cloud,Y,Occasionnel,0,7
Non,1,3,1,00000501,2,3,Infra & Cloud,Y,Occasionnel,2,2
Oui,0,3,1,00000502,19,3,Marketing,Y,Aucun,0,4
Non,0,2,1,00000505,2,3,Infra & Cloud,Y,Occasionnel,1,2
Non,1,2,1,00000507,10,4,Marketing,Y,Occasionnel,0,3
Non,1,3,1,00000508,2,1,Entrepreunariat,Y,Occasionnel,0,0
Oui,0,2,1,00000510,3,1,Entrepreunariat,Y,Frequent,0,4
Non,1,1,1,00000511,11,3,Transformation Digitale,Y,Occasionnel,1,2
Non,2,2,1,00000513,2,2,Transformation Digitale,Y,Occasionnel,9,0
Oui,0,4,1,00000514,4,3,Entrepreunariat,Y,Frequent,0,0
Non,1,2,1,00000515,14,3,Infra & Cloud,Y,Occasionnel,12,17
Non,2,5,1,00000516,2,2,Marketing,Y,Occasionnel,1,3
Non,1,5,1,00000517,1,4,Infra & Cloud,Y,Occasionnel,1,2
Non,0,2,1,00000518,10,4,Infra & Cloud,Y,Occasionnel,0,1
Non,1,3,1,00000520,12,3,Infra & Cloud,Y,Occasionnel,3,9
Non,1,3,1,00000521,2,3,Transformation Digitale,Y,Occasionnel,0,0
Non,1,4,1,00000522,5,2,Transformation Digitale,Y,Occasionnel,1,2
Non,1,3,1,00000523,4,4,Marketing,Y,Aucun,1,2
Non,1,5,1,00000524,7,2,Transformation Digitale,Y,Occasionnel,3,12
Non,1,1,1,00000525,21,3,Transformation Digitale,Y,Frequent,1,2
Non,0,3,1,00000526,8,4,Autre,Y,Occasionnel,0,2
Non,0,3,1,00000527,4,2,Infra & Cloud,Y,Occasionnel,1,3
Non,2,2,1,00000529,25,5,Transformation Digitale,Y,Aucun,10,7
Non,1,3,1,00000530,1,2,Infra & Cloud,Y,Occasionnel,3,2
Non,1,3,1,00000531,1,1,Infra & Cloud,Y,Frequent,1,6
Non,3,0,1,00000532,6,3,Infra & Cloud,Y,Frequent,7,7
Non,0,6,1,00000533,12,3,Entrepreunariat,Y,Occasionnel,4,4
Non,1,2,1,00000534,1,3,Marketing,Y,Occasionnel,0,7
Non,1,2,1,00000536,17,2,Transformation Digitale,Y,Occasionnel,1,8
Oui,1,5,1,00000538,3,3,Transformation Digitale,Y,Occasionnel,0,2
Non,0,4,1,00000543,3,3,Transformation Digitale,Y,Occasionnel,0,4
Non,2,3,1,00000544,10,2,Infra & Cloud,Y,Occasionnel,0,2
Non,0,2,1,00000546,4,2,Infra & Cloud,Y,Occasionnel,1,4
Non,1,3,1,00000547,29,2,Infra & Cloud,Y,Frequent,0,2
Non,0,2,1,00000548,2,3,Infra & Cloud,Y,Occasionnel,0,2
Non,0,5,1,00000549,7,3,Infra & Cloud,Y,Occasionnel,11,10
Non,1,5,1,00000550,18,3,Transformation Digitale,Y,Occasionnel,0,8
Non,3,4,1,00000551,28,4,Entrepreunariat,Y,Frequent,0,4
Oui,0,4,1,00000554,1,1,Entrepreunariat,Y,Occasionnel,1,4
Oui,1,3,1,00000555,6,2,Marketing,Y,Frequent,1,0
Non,1,3,1,00000556,2,2,Infra & Cloud,Y,Frequent,0,0
Non,0,2,1,00000558,2,4,Infra & Cloud,Y,Occasionnel,1,12
Non,2,3,1,00000560,23,3,Infra & Cloud,Y,Occasionnel,0,2
Non,1,3,1,00000562,3,3,Infra & Cloud,Y,Aucun,1,4
Non,0,2,1,00000564,3,4,Transformation Digitale,Y,Occasionnel,0,7
Oui,0,2,1,00000565,25,5,Entrepreunariat,Y,Occasionnel,1,1
Oui,0,3,1,00000566,2,2,Entrepreunariat,Y,Occasionnel,0,0
Non,0,3,1,00000567,22,4,Autre,Y,Aucun,7,8
Non,1,3,1,00000568,29,3,Marketing,Y,Occasionnel,0,0
Non,1,2,1,00000569,29,4,Infra & Cloud,Y,Occasionnel,15,7
Non,0,2,1,00000571,2,3,Transformation Digitale,Y,Aucun,6,7
Non,0,5,1,00000573,28,3,Marketing,Y,Frequent,13,11
Non,3,2,1,00000574,2,2,Transformation Digitale,Y,Occasionnel,0,4
Non,0,2,1,00000575,2,3,Infra & Cloud,Y,Occasionnel,0,1
Non,0,2,1,00000577,22,3,Infra & Cloud,Y,Occasionnel,4,3
Non,0,3,1,00000578,8,4,Infra & Cloud,Y,Occasionnel,0,0
Non,1,3,1,00000579,2,4,Infra & Cloud,Y,Occasionnel,5,7
Non,1,3,1,00000580,10,3,Marketing,Y,Occasionnel,1,2
Non,1,6,1,00000581,9,1,Infra & Cloud,Y,Occasionnel,0,8
Oui,0,2,1,00000582,15,1,Transformation Digitale,Y,Occasionnel,7,7
Oui,3,2,1,00000584,10,1,Transformation Digitale,Y,Occasionnel,1,3
Non,0,3,1,00000585,7,1,Marketing,Y,Occasionnel,1,2
Non,0,2,1,00000586,16,3,Infra & Cloud,Y,Occasionnel,0,0
Oui,0,2,1,00000587,20,3,Infra & Cloud,Y,Frequent,0,0
Oui,3,2,1,00000590,23,3,Ressources Humaines,Y,Frequent,0,2
Non,1,4,1,00000591,5,2,Autre,Y,Frequent,2,0
Non,0,3,1,00000592,10,4,Transformation Digitale,Y,Aucun,9,7
Oui,0,3,1,00000593,4,1,Entrepreunariat,Y,Frequent,1,2
Non,1,2,1,00000595,2,5,Marketing,Y,Occasionnel,6,7
Non,0,2,1,00000597,18,5,Infra & Cloud,Y,Occasionnel,7,7
Non,0,3,1,00000599,10,2,Infra & Cloud,Y,Aucun,1,10
Non,0,2,1,00000600,1,3,Marketing,Y,Occasionnel,6,9
Non,0,3,1,00000601,6,3,Infra & Cloud,Y,Occasionnel,5,13
Non,1,3,1,00000602,8,1,Infra & Cloud,Y,Frequent,0,7
Non,0,2,1,00000604,2,1,Infra & Cloud,Y,Occasionnel,0,5
Non,1,5,1,00000605,24,3,Transformation Digitale,Y,Occasionnel,5,8
Non,1,3,1,00000606,2,3,Autre,Y,Occasionnel,3,7
Oui,1,2,1,00000608,17,4,Infra & Cloud,Y,Frequent,1,0
Non,2,2,1,00000611,19,3,Entrepreunariat,Y,Occasionnel,1,2
Non,1,2,1,00000612,1,5,Transformation Digitale,Y,Occasionnel,0,5
Non,1,3,1,00000613,7,3,Infra & Cloud,Y,Occasionnel,0,1
Oui,0,3,1,00000614,5,3,Marketing,Y,Frequent,0,0
Non,1,2,1,00000615,28,3,Autre,Y,Aucun,0,1
Non,0,3,1,00000616,2,4,Autre,Y,Aucun,0,7
Non,2,5,1,00000618,29,2,Transformation Digitale,Y,Occasionnel,0,0
Non,0,3,1,00000620,1,3,Transformation Digitale,Y,Occasionnel,0,3
Non,0,3,1,00000621,21,4,Infra & Cloud,Y,Occasionnel,5,7
Oui,0,3,1,00000622,24,3,Entrepreunariat,Y,Occasionnel,0,0
Non,0,3,1,00000623,1,3,Entrepreunariat,Y,Occasionnel,1,2
Non,0,3,1,00000624,18,1,Transformation Digitale,Y,Frequent,1,2
Non,1,2,1,00000625,2,5,Infra & Cloud,Y,Occasionnel,11,8
Non,1,6,1,00000626,9,4,Transformation Digitale,Y,Aucun,7,7
Non,2,3,1,00000630,6,2,Entrepreunariat,Y,Occasionnel,6,9
Oui,0,2,1,00000631,11,4,Autre,Y,Aucun,1,2
Non,2,3,1,00000632,24,3,Transformation Digitale,Y,Frequent,2,1
Non,1,4,1,00000634,10,3,Transformation Digitale,Y,Occasionnel,0,0
Non,1,2,1,00000635,1,4,Infra & Cloud,Y,Occasionnel,4,3
Non,1,5,1,00000638,18,4,Infra & Cloud,Y,Occasionnel,0,9
Non,2,3,1,00000639,23,3,Transformation Digitale,Y,Occasionnel,1,4
Non,2,5,1,00000641,28,2,Marketing,Y,Occasionnel,1,4
Non,1,2,1,00000643,17,2,Autre,Y,Occasionnel,0,0
Non,1,2,1,00000644,3,3,Transformation Digitale,Y,Frequent,10,7
Non,0,1,1,00000645,13,1,Transformation Digitale,Y,Occasionnel,0,6
Oui,1,4,1,00000647,7,3,Infra & Cloud,Y,Frequent,1,2
Oui,1,2,1,00000648,12,4,Infra & Cloud,Y,Frequent,0,0
Non,1,3,1,00000649,1,2,Infra & Cloud,Y,Occasionnel,1,3
Oui,0,2,1,00000650,13,4,Transformation Digitale,Y,Occasionnel,1,2
Non,0,3,1,00000652,25,2,Autre,Y,Occasionnel,0,2
Non,2,4,1,00000653,6,4,Transformation Digitale,Y,Occasionnel,5,7
Non,2,5,1,00000655,6,4,Transformation Digitale,Y,Occasionnel,0,3
Non,1,3,1,00000656,2,3,Marketing,Y,Occasionnel,1,0
Non,0,0,1,00000657,1,3,Infra & Cloud,Y,Occasionnel,0,0
Non,2,4,1,00000659,2,4,Infra & Cloud,Y,Occasionnel,2,2
Non,1,3,1,00000661,6,4,Autre,Y,Occasionnel,0,0
Non,0,3,1,00000662,1,1,Infra & Cloud,Y,Occasionnel,0,0
Non,1,3,1,00000663,9,5,Transformation Digitale,Y,Frequent,4,7
Non,1,3,1,00000664,1,4,Infra & Cloud,Y,Occasionnel,0,2
Non,0,1,1,00000665,1,4,Infra & Cloud,Y,Occasionnel,0,2
Non,2,3,1,00000666,14,3,Entrepreunariat,Y,Occasionnel,0,6
Oui,1,3,1,00000667,2,1,Marketing,Y,Occasionnel,0,2
Non,0,2,1,00000669,22,1,Entrepreunariat,Y,Occasionnel,1,2
Non,1,2,1,00000671,3,4,Autre,Y,Occasionnel,0,1
Non,0,3,1,00000675,6,1,Transformation Digitale,Y,Occasionnel,2,2
Non,0,3,1,00000677,8,4,Marketing,Y,Occasionnel,1,2
Non,1,2,1,00000679,9,4,Infra & Cloud,Y,Occasionnel,0,5
Non,1,2,1,00000680,3,3,Transformation Digitale,Y,Frequent,0,0
Non,0,2,1,00000682,1,1,Transformation Digitale,Y,Occasionnel,8,10
Non,1,4,1,00000683,1,5,Infra & Cloud,Y,Occasionnel,8,8
Oui,2,4,1,00000684,26,4,Infra & Cloud,Y,Frequent,0,0
Non,1,2,1,00000686,6,3,Infra & Cloud,Y,Occasionnel,0,2
Non,1,2,1,00000689,3,3,Autre,Y,Occasionnel,7,8
Non,1,5,1,00000690,3,2,Transformation Digitale,Y,Occasionnel,1,2
Non,0,3,1,00000691,6,4,Infra & Cloud,Y,Occasionnel,11,8
Non,1,2,1,00000692,6,3,Infra & Cloud,Y,Frequent,4,7
Non,1,1,1,00000698,19,4,Transformation Digitale,Y,Occasionnel,7,1
Non,1,2,1,00000699,9,2,Transformation Digitale,Y,Occasionnel,0,2
Non,0,0,1,00000700,3,4,Transformation Digitale,Y,Occasionnel,1,1
Oui,0,5,1,00000701,10,1,Transformation Digitale,Y,Occasionnel,1,1
Oui,0,3,1,00000702,3,3,Infra & Cloud,Y,Frequent,9,7
Non,2,3,1,00000704,3,3,Infra & Cloud,Y,Aucun,0,0
Non,1,3,1,00000705,4,3,Transformation Digitale,Y,Occasionnel,0,2
Non,1,4,1,00000707,8,3,Infra & Cloud,Y,Occasionnel,1,2
Non,0,2,1,00000709,7,4,Marketing,Y,Occasionnel,0,5
Non,1,5,1,00000710,1,4,Infra & Cloud,Y,Frequent,2,8
Non,0,3,1,00000712,2,1,Marketing,Y,Occasionnel,2,2
Non,2,3,1,00000714,3,1,Transformation Digitale,Y,Frequent,0,4
Non,0,2,1,00000715,10,2,Infra & Cloud,Y,Occasionnel,0,0
Non,3,3,1,00000716,28,1,Transformation Digitale,Y,Occasionnel,3,8
Non,0,3,1,00000717,9,3,Transformation Digitale,Y,Occasionnel,7,7
Oui,0,3,1,00000720,3,2,Infra & Cloud,Y,Occasionnel,2,0
Non,0,4,1,00000721,2,4,Entrepreunariat,Y,Occasionnel,11,10
Non,0,2,1,00000722,10,3,Marketing,Y,Occasionnel,0,8
Oui,1,4,1,00000723,8,2,Entrepreunariat,Y,Frequent,1,3
Non,0,4,1,00000724,1,4,Infra & Cloud,Y,Occasionnel,1,8
Non,0,3,1,00000725,1,2,Infra & Cloud,Y,Occasionnel,0,7
Non,0,6,1,00000727,3,2,Infra & Cloud,Y,Occasionnel,7,7
Non,0,2,1,00000728,14,4,Marketing,Y,Occasionnel,1,7
Non,1,2,1,00000729,5,4,Infra & Cloud,Y,Frequent,1,12
Non,0,3,1,00000730,7,3,Infra & Cloud,Y,Occasionnel,1,3
Non,3,2,1,00000731,10,4,Ressources Humaines,Y,Occasionnel,12,6
Non,0,1,1,00000732,16,4,Marketing,Y,Occasionnel,2,2
Non,2,4,1,00000733,10,2,Infra & Cloud,Y,Frequent,1,7
Non,1,3,1,00000734,1,3,Ressources Humaines,Y,Occasionnel,2,10
Non,1,2,1,00000738,8,4,Marketing,Y,Occasionnel,2,2
Oui,0,4,1,00000741,1,2,Infra & Cloud,Y,Occasionnel,3,7
Non,1,2,1,00000742,8,3,Infra & Cloud,Y,Aucun,0,5
Non,0,4,1,00000743,1,3,Infra & Cloud,Y,Occasionnel,0,0
Non,0,5,1,00000744,24,3,Transformation Digitale,Y,Aucun,1,4
Non,2,2,1,00000746,3,3,Transformation Digitale,Y,Frequent,11,13
Non,1,2,1,00000747,27,5,Marketing,Y,Occasionnel,7,7
Non,0,6,1,00000749,10,3,Infra & Cloud,Y,Occasionnel,0,0
Oui,0,2,1,00000752,19,3,Transformation Digitale,Y,Frequent,2,2
Non,1,5,1,00000754,15,3,Infra & Cloud,Y,Frequent,2,2
Non,0,2,1,00000757,8,2,Transformation Digitale,Y,Occasionnel,4,3
Non,1,2,1,00000758,9,1,Transformation Digitale,Y,Occasionnel,0,2
Non,1,3,1,00000760,3,3,Ressources Humaines,Y,Occasionnel,3,6
Non,0,1,1,00000762,9,3,Transformation Digitale,Y,Occasionnel,1,1
Non,0,2,1,00000763,2,1,Transformation Digitale,Y,Occasionnel,2,3
Non,0,2,1,00000764,7,3,Transformation Digitale,Y,Occasionnel,0,7
Non,2,2,1,00000766,10,3,Marketing,Y,Occasionnel,2,2
Non,0,4,1,00000769,6,3,Infra & Cloud,Y,Occasionnel,2,2
Non,1,2,1,00000771,2,4,Infra & Cloud,Y,Aucun,0,0
Non,2,2,1,00000772,24,4,Infra & Cloud,Y,Frequent,4,7
Non,1,0,1,00000773,2,5,Transformation Digitale,Y,Occasionnel,0,1
Non,1,3,1,00000775,8,5,Infra & Cloud,Y,Occasionnel,0,0
Non,0,3,1,00000776,3,4,Marketing,Y,Occasionnel,1,16
Oui,0,2,1,00000780,1,4,Autre,Y,Occasionnel,7,8
Non,0,5,1,00000781,26,1,Transformation Digitale,Y,Occasionnel,1,4
Non,0,3,1,00000783,2,2,Entrepreunariat,Y,Occasionnel,3,1
Non,0,3,1,00000784,10,1,Transformation Digitale,Y,Occasionnel,0,2
Oui,0,2,1,00000785,27,2,Infra & Cloud,Y,Frequent,1,3
Non,0,5,1,00000786,2,3,Autre,Y,Occasionnel,1,4
Oui,1,2,1,00000787,2,3,Transformation Digitale,Y,Occasionnel,1,4
Non,0,1,1,00000789,8,4,Infra & Cloud,Y,Aucun,0,9
Non,1,3,1,00000791,19,4,Transformation Digitale,Y,Aucun,1,2
Non,1,2,1,00000792,1,2,Infra & Cloud,Y,Frequent,2,0
Non,1,3,1,00000793,27,3,Transformation Digitale,Y,Occasionnel,1,1
Oui,0,2,1,00000796,8,3,Entrepreunariat,Y,Occasionnel,1,2
Non,0,2,1,00000797,1,4,Infra & Cloud,Y,Occasionnel,1,3
Non,2,4,1,00000799,19,4,Transformation Digitale,Y,Occasionnel,1,4
Non,1,3,1,00000800,8,1,Marketing,Y,Frequent,1,1
Non,2,3,1,00000802,10,1,Infra & Cloud,Y,Occasionnel,4,3
Non,0,2,1,00000803,2,4,Infra & Cloud,Y,Frequent,4,12
Non,0,3,1,00000804,2,4,Transformation Digitale,Y,Occasionnel,1,3
Non,1,1,1,00000805,8,4,Infra & Cloud,Y,Occasionnel,0,2
Non,2,2,1,00000806,1,3,Infra & Cloud,Y,Occasionnel,0,2
Non,1,2,1,00000807,2,2,Transformation Digitale,Y,Frequent,3,7
Non,1,1,1,00000808,8,2,Infra & Cloud,Y,Occasionnel,1,2
Non,1,4,1,00000809,8,3,Infra & Cloud,Y,Frequent,14,9
Oui,2,2,1,00000811,6,3,Infra & Cloud,Y,Occasionnel,0,0
Non,3,4,1,00000812,9,3,Infra & Cloud,Y,Aucun,0,0
Non,1,3,1,00000813,11,4,Infra & Cloud,Y,Occasionnel,1,4
Non,0,3,1,00000815,2,3,Transformation Digitale,Y,Occasionnel,0,3
Oui,1,1,1,00000816,1,2,Infra & Cloud,Y,Occasionnel,0,0
Non,0,3,1,00000817,7,3,Transformation Digitale,Y,Occasionnel,3,7
Oui,0,3,1,00000819,16,3,Marketing,Y,Occasionnel,0,2
Non,1,3,1,00000820,2,2,Autre,Y,Occasionnel,3,0
Non,1,2,1,00000823,1,3,Autre,Y,Occasionnel,0,5
Non,1,3,1,00000824,23,2,Infra & Cloud,Y,Occasionnel,0,7
Oui,0,2,1,00000825,2,4,Infra & Cloud,Y,Occasionnel,13,8
Non,0,0,1,00000826,1,4,Infra & Cloud,Y,Occasionnel,2,2
Non,1,4,1,00000827,1,2,Infra & Cloud,Y,Occasionnel,0,2
Oui,0,3,1,00000828,2,4,Transformation Digitale,Y,Occasionnel,2,1
Non,1,2,1,00000829,13,3,Ressources Humaines,Y,Occasionnel,0,4
Non,1,3,1,00000830,4,3,Infra & Cloud,Y,Occasionnel,6,8
Non,0,6,1,00000832,16,4,Transformation Digitale,Y,Frequent,0,0
Non,0,4,1,00000833,2,3,Transformation Digitale,Y,Occasionnel,0,0
Non,0,3,1,00000834,2,3,Infra & Cloud,Y,Occasionnel,0,0
Non,1,3,1,00000836,29,3,Infra & Cloud,Y,Occasionnel,7,8
Non,1,3,1,00000837,12,3,Infra & Cloud,Y,Frequent,1,2
Non,0,3,1,00000838,16,4,Infra & Cloud,Y,Frequent,1,3
Oui,2,3,1,00000840,11,3,Marketing,Y,Occasionnel,7,7
Oui,0,3,1,00000842,2,1,Transformation Digitale,Y,Occasionnel,7,3
Non,1,3,1,00000843,14,2,Infra & Cloud,Y,Occasionnel,1,0
Non,1,3,1,00000844,5,1,Entrepreunariat,Y,Occasionnel,0,8
Non,0,3,1,00000845,7,3,Autre,Y,Occasionnel,1,6
Non,0,2,1,00000846,2,4,Marketing,Y,Occasionnel,7,5
Non,1,1,1,00000847,3,2,Ressources Humaines,Y,Occasionnel,0,2
Oui,1,2,1,00000848,5,2,Transformation Digitale,Y,Frequent,1,7
Non,3,6,1,00000850,3,3,Transformation Digitale,Y,Aucun,0,0
Non,1,2,1,00000851,26,4,Marketing,Y,Occasionnel,4,17
Non,0,2,1,00000852,4,3,Transformation Digitale,Y,Occasionnel,2,3
Non,0,3,1,00000854,2,1,Transformation Digitale,Y,Occasionnel,0,1
Non,1,5,1,00000855,1,3,Transformation Digitale,Y,Occasionnel,0,8
Non,0,3,1,00000856,27,1,Transformation Digitale,Y,Occasionnel,1,1
Non,1,1,1,00000857,1,2,Infra & Cloud,Y,Occasionnel,4,11
Non,1,3,1,00000859,13,4,Infra & Cloud,Y,Occasionnel,0,3
Non,1,3,1,00000861,5,4,Infra & Cloud,Y,Frequent,0,3
Non,1,3,1,00000862,7,2,Marketing,Y,Occasionnel,0,4
Non,1,2,1,00000864,9,3,Marketing,Y,Occasionnel,0,2
Non,1,3,1,00000865,8,2,Transformation Digitale,Y,Occasionnel,1,3
Non,0,3,1,00000867,25,4,Transformation Digitale,Y,Frequent,0,0
Non,2,2,1,00000868,16,4,Marketing,Y,Occasionnel,0,0
Non,1,6,1,00000869,8,2,Transformation Digitale,Y,Occasionnel,0,4
Non,2,2,1,00000872,1,2,Infra & Cloud,Y,Occasionnel,2,2
Non,1,2,1,00000874,8,4,Infra & Cloud,Y,Occasionnel,0,2
Non,0,2,1,00000875,2,1,Transformation Digitale,Y,Frequent,2,2
Non,0,3,1,00000878,8,3,Infra & Cloud,Y,Occasionnel,0,3
Non,0,3,1,00000879,3,1,Autre,Y,Occasionnel,0,3
Non,1,2,1,00000880,9,3,Infra & Cloud,Y,Occasionnel,5,15
Oui,1,3,1,00000881,25,4,Infra & Cloud,Y,Frequent,7,8
Non,1,2,1,00000882,1,3,Infra & Cloud,Y,Aucun,0,2
Non,0,1,1,00000885,4,1,Marketing,Y,Occasionnel,0,3
Non,1,2,1,00000887,1,3,Entrepreunariat,Y,Occasionnel,0,2
Non,0,2,1,00000888,4,1,Infra & Cloud,Y,Aucun,3,4
Non,1,3,1,00000889,5,2,Infra & Cloud,Y,Frequent,5,3
Non,1,3,1,00000893,9,3,Marketing,Y,Occasionnel,1,2
Non,1,1,1,00000894,3,3,Infra & Cloud,Y,Occasionnel,1,3
Non,1,2,1,00000895,11,4,Infra & Cloud,Y,Occasionnel,0,2
Oui,3,3,1,00000896,1,3,Transformation Digitale,Y,Occasionnel,0,2
Non,1,3,1,00000897,8,3,Marketing,Y,Occasionnel,2,2
Non,0,2,1,00000899,25,3,Entrepreunariat,Y,Occasionnel,4,8
Non,1,3,1,00000900,21,2,Transformation Digitale,Y,Frequent,0,0
Non,0,0,1,00000901,23,4,Infra & Cloud,Y,Occasionnel,3,8
Non,1,2,1,00000902,1,3,Infra & Cloud,Y,Frequent,2,2
Non,1,2,1,00000903,2,2,Marketing,Y,Occasionnel,7,7
Non,0,2,1,00000904,19,2,Transformation Digitale,Y,Aucun,0,9
Non,1,3,1,00000905,2,4,Infra & Cloud,Y,Aucun,14,7
Non,2,2,1,00000909,2,3,Infra & Cloud,Y,Occasionnel,0,4
Non,1,4,1,00000910,3,2,Ressources Humaines,Y,Occasionnel,0,3
Oui,0,2,1,00000911,25,4,Infra & Cloud,Y,Occasionnel,0,1
Non,3,5,1,00000912,7,1,Transformation Digitale,Y,Occasionnel,0,3
Non,0,0,1,00000913,9,2,Infra & Cloud,Y,Occasionnel,7,1
Non,0,3,1,00000916,5,4,Transformation Digitale,Y,Occasionnel,0,2
Oui,1,3,1,00000918,2,1,Infra & Cloud,Y,Frequent,0,0
Non,1,2,1,00000920,8,3,Infra & Cloud,Y,Occasionnel,0,0
Oui,0,3,1,00000922,2,3,Transformation Digitale,Y,Occasionnel,0,2
Oui,0,3,1,00000923,18,1,Autre,Y,Occasionnel,0,0
Non,1,2,1,00000924,14,1,Infra & Cloud,Y,Occasionnel,4,11
Non,0,3,1,00000925,2,4,Infra & Cloud,Y,Occasionnel,1,2
Oui,1,3,1,00000926,3,1,Infra & Cloud,Y,Occasionnel,0,2
Oui,1,1,1,00000927,2,4,Infra & Cloud,Y,Occasionnel,1,0
Non,1,2,1,00000930,9,3,Transformation Digitale,Y,Occasionnel,2,2
Oui,0,2,1,00000932,6,3,Transformation Digitale,Y,Occasionnel,2,2
Non,0,2,1,00000933,4,3,Infra & Cloud,Y,Occasionnel,0,0
Non,2,3,1,00000934,10,3,Infra & Cloud,Y,Occasionnel,1,0
Non,0,6,1,00000936,14,2,Transformation Digitale,Y,Occasionnel,0,3
Non,0,1,1,00000939,1,4,Autre,Y,Occasionnel,0,2
Non,1,3,1,00000940,5,3,Entrepreunariat,Y,Occasionnel,0,4
Non,0,2,1,00000941,7,4,Infra & Cloud,Y,Occasionnel,5,2
Non,1,2,1,00000942,21,1,Infra & Cloud,Y,Occasionnel,0,7
Non,1,3,1,00000944,8,2,Autre,Y,Occasionnel,1,7
Non,2,2,1,00000945,20,4,Transformation Digitale,Y,Occasionnel,0,0
Non,1,2,1,00000947,20,2,Marketing,Y,Aucun,0,0
Non,0,6,1,00000949,7,4,Autre,Y,Occasionnel,0,1
Non,1,3,1,00000950,1,3,Entrepreunariat,Y,Occasionnel,5,11
Non,0,3,1,00000951,1,3,Infra & Cloud,Y,Aucun,0,2
Oui,3,2,1,00000952,19,2,Marketing,Y,Occasionnel,0,0
Non,1,2,1,00000954,10,4,Marketing,Y,Occasionnel,0,0
Non,0,2,1,00000956,1,3,Transformation Digitale,Y,Frequent,0,7
Non,0,3,1,00000957,6,3,Transformation Digitale,Y,Occasionnel,2,17
Non,0,6,1,00000958,2,4,Transformation Digitale,Y,Occasionnel,3,9
Oui,0,3,1,00000959,21,3,Autre,Y,Occasionnel,0,0
Oui,0,2,1,00000960,4,3,Entrepreunariat,Y,Occasionnel,0,0
Non,2,2,1,00000961,12,3,Transformation Digitale,Y,Occasionnel,8,5
Non,1,2,1,00000964,9,4,Transformation Digitale,Y,Frequent,0,0
Non,1,2,1,00000966,3,4,Transformation Digitale,Y,Occasionnel,6,3
Oui,1,6,1,00000967,3,1,Infra & Cloud,Y,Occasionnel,3,7
Non,0,3,1,00000969,1,3,Infra & Cloud,Y,Occasionnel,1,4
Oui,0,2,1,00000970,1,4,Infra & Cloud,Y,Occasionnel,11,7
Non,0,5,1,00000972,4,2,Infra & Cloud,Y,Aucun,0,8
Non,1,5,1,00000974,20,3,Entrepreunariat,Y,Frequent,0,2
Non,0,3,1,00000975,18,3,Transformation Digitale,Y,Occasionnel,1,0
Non,1,2,1,00000976,1,2,Infra & Cloud,Y,Occasionnel,7,8
Oui,0,4,1,00000977,2,3,Entrepreunariat,Y,Occasionnel,0,0
Non,1,3,1,00000981,2,2,Transformation Digitale,Y,Occasionnel,15,2
Non,1,2,1,00000982,8,2,Autre,Y,Occasionnel,7,7
Non,0,1,1,00000983,10,3,Entrepreunariat,Y,Aucun,1,3
Non,1,2,1,00000984,3,4,Infra & Cloud,Y,Occasionnel,0,8
Non,0,3,1,00000985,2,5,Infra & Cloud,Y,Occasionnel,0,7
Oui,0,2,1,00000986,24,3,Infra & Cloud,Y,Aucun,0,0
Non,0,3,1,00000987,16,4,Transformation Digitale,Y,Frequent,2,7
Non,2,3,1,00000990,8,4,Entrepreunariat,Y,Aucun,0,7
Oui,0,0,1,00000991,9,2,Transformation Digitale,Y,Aucun,1,2
